CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,Validated,minfirstderivative,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,deltas,delta1s,Cs
Turkey,6,1-Jun,0.0661,0.0661,0.0661,0.198,24,12,36,67.88,32.12,1190,0.641,0.806,20,75,304.8,105,ACSR,0,0,0.641,0.00210301837270341,0.00264435695538058,0.5,2,0.348902703852549
Swan,4,1-Jun,0.0834,0.0834,0.0834,0.25,39,18,57,67.87,32.12,1860,0.403,0.515,20,75,304.8,140,ACSR,0,0,0.403,0.00132217847769029,0.00168963254593176,1.80047566554834,2,0.347083425587638
Swanate,4,1-Jul,0.0772,0.103,0.103,0.257,39,28,67,58.1,41.9,2360,0.399,0.519,20,75,304.8,140,ACSR,0,0,0.399,0.00130905511811024,0.00170275590551181,2.15180935311681,2,0.345114965365496
Sparrow,2,1-Jun,0.1052,0.1052,0.1052,0.316,62,29,91,67.9,32.1,2850,0.254,0.332,20,75,304.8,184,ACSR,0,0,0.254,0.000833333333333333,0.00108923884514436,3.1241604958987,2,0.342323349112677
Sparate,2,1-Jul,0.0974,0.1298,0.1298,0.325,62,45,107,58.12,41.88,3460,0.251,0.338,20,75,304.8,184,ACSR,0,0,0.251,0.000823490813648294,0.00110892388451444,3.13465746942544,2,0.342163331094708
Robin,1,1-Jun,0.1181,0.1181,0.1181,0.354,78,37,115,67.88,32.12,3550,0.201,0.268,20,75,304.8,212,ACSR,0,0,0.201,0.000659448818897638,0.000879265091863517,3.02331994195243,2,0.342894389713988
Raven,-0,1-Jun,0.1327,0.1327,0.1327,0.398,99,47,145,67.89,32.11,4380,0.159,0.217,20,75,304.8,242,ACSR,0,0,0.159,0.000521653543307087,0.000711942257217848,2.9241935593677,2,0.33943765861742
Quail,-0,1-Jun,0.1489,0.1489,0.1489,0.447,124,59,183,67.88,32.12,5310,0.126,0.176,20,75,304.8,276,ACSR,0,0,0.126,0.000413385826771654,0.00057742782152231,2.82442546370951,2,0.293120298761904
Pigeon,-0,1-Jun,0.1672,0.1672,0.1672,0.502,156,74,230,67.87,32.13,6620,0.1,0.144,20,75,304.8,315,ACSR,0,0,0.1,0.000328083989501312,0.00047244094488189,2.72905230376187,2,0.283350511648896
Penguin,-0,1-Jun,0.1878,0.1878,0.1878,0.563,197,93,291,67.88,32.12,8350,0.0795,0.119,20,75,304.8,357,ACSR,0,0,0.0795,0.000260826771653543,0.000390419947506562,2.64092246447093,2,0.276212151253296
Waxwing,266.8,18/1,0.1217,0.1217,0.1217,0.609,250,39,289,86.43,13.57,6880,0.0643,0.0787,20,75,304.8,449,ACSR,0,0,0.0643,0.000210958005249344,0.000258202099737533,2.33783047031369,2,0.28444733778341
Partridge,266.8,26/7,0.1013,0.0788,0.2363,0.642,251,115,367,68.51,31.49,11300,0.0637,0.0779,20,75,304.8,475,ACSR,0,0,0.0637,0.000208989501312336,0.000255577427821522,2.25932207204634,2,0.298486863140079
Ostrich,300,26/7,0.1074,0.0835,0.2506,0.68,283,130,412,68.51,31.49,12700,0.0567,0.0693,20,75,304.8,492,ACSR,0,0,0.0567,0.000186023622047244,0.000227362204724409,2.22622117302737,2,0.280128337033027
Merlin,336.4,18/1,0.1367,0.1367,0.1367,0.684,315,49,365,86.43,13.57,8680,0.051,0.0625,20,75,304.8,519,ACSR,0,0,0.051,0.000167322834645669,0.00020505249343832,2.2230585207454,2,0.280780592195432
Linnet,336.4,26/7,0.1137,0.0885,0.2654,0.72,317,146,462,68.51,31.49,14100,0.0505,0.0618,20,75,304.8,529,ACSR,0,0,0.0505,0.000165682414698163,0.000202755905511811,2.17033729474431,2,0.277125038091602
Oriole,336.4,30/7,0.1059,0.1059,0.3177,0.741,318,209,526,60.35,39.65,17300,0.0502,0.0613,20,75,304.8,535,ACSR,0,0,0.0502,0.000164698162729659,0.000201115485564304,2.13975247744135,2,0.276575664394048
Chickadee,397.5,18/1,0.1486,0.1486,0.1486,0.743,373,58,431,86.43,13.57,9940,0.0432,0.0529,20,75,304.8,576,ACSR,0,0,0.0432,0.000141732283464567,0.000173556430446194,2.14117310123288,2,0.276831213384801
Brant,397.5,24/7,0.1287,0.0858,0.2574,0.772,374,137,511,73.21,26.79,14600,0.043,0.0526,20,75,304.8,584,ACSR,0,0,0.043,0.000141076115485564,0.00017257217847769,2.10169493933359,2,0.274704905425149
Ibis,397.5,26/7,0.1236,0.0962,0.2885,0.783,374,172,546,68.51,31.49,16300,0.0428,0.0523,20,75,304.8,587,ACSR,0,0,0.0428,0.000140419947506562,0.000171587926509186,2.08739489907637,2,0.275553192541082
Lark,397.5,30/7,0.1151,0.1151,0.3453,0.806,375,247,622,60.35,39.65,20300,0.0425,0.0519,20,75,304.8,594,ACSR,0,0,0.0425,0.000139435695538058,0.000170275590551181,2.05851663577633,2,0.272686940171714
Pelican,477,18/1,0.1628,0.1628,0.1628,0.814,447,70,517,86.44,13.56,11800,0.036,0.0442,20,75,304.8,646,ACSR,0,0,0.036,0.000118110236220472,0.00014501312335958,2.05404864506517,2,0.273769828439664
Flicker,477,24/7,0.141,0.094,0.2819,0.846,449,164,614,73.21,26.79,17200,0.0358,0.0439,20,75,304.8,655,ACSR,0,0,0.0358,0.00011745406824147,0.000144028871391076,2.01504716582853,2,0.271584994581001
Hawk,477,26/7,0.1354,0.1053,0.316,0.858,449,207,656,68.51,31.49,19500,0.0356,0.0436,20,75,304.8,659,ACSR,0,0,0.0356,0.000116797900262467,0.000143044619422572,2.00067191958062,2,0.272406181344929
Hen,477,30/7,0.1261,0.1261,0.3783,0.883,450,296,746,60.35,39.65,23800,0.0354,0.0433,20,75,304.8,666,ACSR,0,0,0.0354,0.000116141732283465,0.000142060367454068,1.97251962487589,2,0.269366296990383
Osprey,556.5,18/1,0.1758,0.1758,0.1758,0.879,522,82,603,86.43,13.57,13700,0.0308,0.0379,20,75,304.8,711,ACSR,0,0,0.0308,0.000101049868766404,0.000124343832020997,1.9826834182499,2,0.269417405453523
Parakeet,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,73.21,26.79,19800,0.0307,0.0376,20,75,304.8,721,ACSR,0,0,0.0307,0.000100721784776903,0.000123359580052493,1.94094990385335,2,0.269393219467763
Dove,556.5,26/7,0.1463,0.1138,0.3413,0.927,524,241,765,68.51,31.49,22600,0.0306,0.0375,20,75,304.8,726,ACSR,0,0,0.0306,0.000100393700787402,0.000123031496062992,1.927374384989,2,0.270523173787343
Eagle,556.5,30/7,0.1362,0.1362,0.4086,0.953,525,345,871,60.35,39.65,27800,0.0303,0.0372,20,75,304.8,734,ACSR,0,0,0.0303,9.94094488188976e-05,0.000122047244094488,1.90281884208139,2,0.267583591879556
Peacock,605,24/7,0.1588,0.1059,0.3177,0.953,570,209,779,73.2,26.8,21600,0.0282,0.0346,20,75,304.8,760,ACSR,0,0,0.0282,9.25196850393701e-05,0.000113517060367454,1.9031583056358,2,0.267432613083798
Squab,605,26/7,0.1525,0.1186,0.3559,0.966,570,262,832,68.51,31.49,24300,0.0281,0.0345,20,75,304.8,765,ACSR,0,0,0.0281,9.21916010498688e-05,0.000113188976377953,1.89005197745861,2,0.268571049938337
Wood_Duck,605,30/7,0.142,0.142,0.426,0.994,571,375,946,60.35,39.65,28900,0.0279,0.0342,20,75,304.8,774,ACSR,0,0,0.0279,9.15354330708661e-05,0.000112204724409449,1.86202738875903,2,0.267941309920026
Teal,605,30/19,0.142,0.0852,0.426,0.994,571,367,939,60.86,39.14,30000,0.0279,0.0342,20,75,304.8,773,ACSR,0,0,0.0279,9.15354330708661e-05,0.000112204724409449,1.86247532287033,2,0.267870722396709
Kingbird,636,18/1,0.188,0.188,0.188,0.94,596,94,690,86.43,13.57,15700,0.027,0.0332,20,75,304.8,773,ACSR,0,0,0.027,8.85826771653543e-05,0.000108923884514436,1.91824133173434,2,0.26909403619031
Swift,636,36/1,0.1329,0.1329,0.1329,0.93,596,47,643,92.72,7.28,13690,0.0271,0.0334,20,75,304.8,769,ACSR,0,0,0.0271,8.89107611548556e-05,0.000109580052493438,1.93023826081794,2,0.268528157429176
Rook,636,24/7,0.1628,0.1085,0.3256,0.977,599,219,818,73.22,26.78,22600,0.0268,0.033,20,75,304.8,784,ACSR,0,0,0.0268,8.79265091863517e-05,0.000108267716535433,1.8827173730613,2,0.266942630693113
Grosbeak,636,26/7,0.1564,0.1216,0.3649,0.991,599,275,874,68.51,31.49,25200,0.0267,0.0328,20,75,304.8,789,ACSR,0,0,0.0267,8.75984251968504e-05,0.00010761154855643,1.86718835207125,2,0.267806026703084
Scoter,636,30/7,0.1456,0.1456,0.4368,1.019,600,395,995,60.35,39.65,30400,0.0256,0.0325,20,75,304.8,798,ACSR,0,0,0.0256,8.3989501312336e-05,0.000106627296587927,1.87038599569232,2,0.263835199766912
Egret,636,30/19,0.1456,0.0874,0.4368,1.019,600,386,987,60.85,39.15,31500,0.0266,0.0326,20,75,304.8,798,ACSR,0,0,0.0266,8.72703412073491e-05,0.000106955380577428,1.83873365458498,2,0.267174274314056
Flamingo,666.6,24/7,0.1667,0.1111,0.3333,1,628,230,858,73.21,26.79,23700,0.0256,0.0315,20,75,304.8,807,ACSR,0,0,0.0256,8.3989501312336e-05,0.000103346456692913,1.86019812123294,2,0.266030409532687
Gannet,666.6,26/7,0.1601,0.1245,0.3736,1.014,628,289,916,68.51,31.49,26400,0.0255,0.0313,20,75,304.8,812,ACSR,0,0,0.0255,8.36614173228346e-05,0.000102690288713911,1.84558080373714,2,0.266777709207578
Stilt,715.5,24/7,0.1727,0.1151,0.3453,1.036,674,247,920,73.21,26.79,25500,0.0239,0.0294,20,75,304.8,844,ACSR,0,0,0.0239,7.84120734908136e-05,9.64566929133858e-05,1.82680738863166,2,0.266026284988224
Starling,715.5,26/7,0.1659,0.129,0.3871,1.051,674,310,984,68.51,31.49,28400,0.0238,0.0292,20,75,304.8,849,ACSR,0,0,0.0238,7.80839895013123e-05,9.58005249343832e-05,1.81150142518193,2,0.264316915218009
Redwing,715.5,30/19,0.1544,0.0927,0.4633,1.081,676,435,1110,60.85,39.15,34600,0.0236,0.029,20,75,304.8,859,ACSR,0,0,0.0236,7.74278215223097e-05,9.51443569553806e-05,1.7864899123537,2,0.263911845795511
