Name,Size,Metal OD,Low Temp ûC,Low Resistance ½/mile,Low Resistance ½/meter,Hi Temp ûC,Hi Resistance ½/mile,Hi Resistance ½/meter,alpha,beta,Type
Akron,30.58,0.198,25,3.5394,0.002199287,75,4.1430,0.002574347,0.002011756,7.50121E-06,AAAC
Alton,48.69,0.250,25,2.2235,0.001381622,75,2.6026,0.001617185,0.001263841,4.71125E-06,AAAC
Ames,77.47,0.316,25,1.3973,0.000868244,75,1.6355,0.001016255,0.000794239,2.96022E-06,AAAC
Azusa,123.3,0.398,25,0.8782,0.00054569,75,1.0278,0.000638647,0.000499211,1.85915E-06,AAAC
Anaheim,155.4,0.447,25,0.6969,0.000433035,75,0.8156,0.000506792,0.000396156,1.47514E-06,AAAC
Amherst,195.7,0.502,25,0.5536,0.000343992,75,0.6478,0.000402525,0.000314725,1.17067E-06,AAAC
Alliance,246.9,0.563,25,0.4391,0.000272845,75,0.5137,0.000319199,0.000249668,9.27088E-07,AAAC
Amarillo,246.9,0.570,25,0.4391,0.000272845,75,0.5137,0.000319199,0.000249668,9.27088E-07,AAAC
Butte,312.8,0.642,25,0.3469,0.000215554,75,0.4058,0.000252153,0.000197255,7.31977E-07,AAAC
Canton,394.5,0.721,25,0.2755,0.000171188,75,0.3221,0.000200144,0.00015671,5.79119E-07,AAAC
Cairo,465.4,0.783,25,0.2339,0.000145339,75,0.2733,0.000169821,0.000133098,4.89642E-07,AAAC
Darien,559.5,0.858,25,0.1950,0.000121168,75,0.2278,0.000141549,0.000110977,4.07621E-07,AAAC
Elgin,652.4,0.927,25,0.1677,0.000104204,75,0.1958,0.000121665,9.54739E-05,3.49211E-07,AAAC
Flint,740.8,0.991,25,0.1482,9.20874E-05,75,0.1728,0.000107373,8.44446E-05,3.05715E-07,AAAC
Greeley,927.2,1.108,25,0.1193,7.41298E-05,75,0.1389,8.63087E-05,6.80403E-05,2.43578E-07,AAAC
Poppy, 1/0,0.368,25,0.8829,0.00054861,75,1.0576,0.000657164,0.000494333,2.17108E-06,AAC
Aster, 2/0,0.414,25,0.7000,0.000434961,75,0.8384,0.000520959,0.000391962,1.71996E-06,AAC
Phlox, 3/0,0.464,25,0.5543,0.000344427,75,0.6652,0.000413337,0.000309972,1.3782E-06,AAC
Oxlip, 4/0,0.522,25,0.4407,0.000273839,75,0.5277,0.000327898,0.000246809,1.08119E-06,AAC
Pansy,1,0.328,25,1.1128,0.000691464,75,1.3330,0.00082829,0.00062305,2.73653E-06,AAC
Iris,2,0.292,25,1.4031,0.000871848,75,1.6808,0.001044403,0.00078557,3.4511E-06,AAC
Rose,4,0.232,25,2.2308,0.001386158,75,2.6725,0.001660619,0.001248928,5.48921E-06,AAC
Peachbell,6,0.184,25,3.5471,0.002204071,75,4.2493,0.002640399,0.001985907,8.72656E-06,AAC
Sneezewort,250,0.567,25,0.3733,0.000231958,75,0.4469,0.000277691,0.000209092,9.14661E-07,AAC
Valerian,250,0.574,25,0.3733,0.000231958,75,0.4469,0.000277691,0.000209092,9.14661E-07,AAC
Daisy,266.8,0.586,25,0.3499,0.000217418,75,0.4188,0.000260231,0.000196012,8.56252E-07,AAC
Laurel,266.8,0.593,25,0.3499,0.000217418,75,0.4188,0.000260231,0.000196012,8.56252E-07,AAC
Peony,300,0.629,25,0.3113,0.000193433,75,0.3726,0.000231523,0.000174388,7.61803E-07,AAC
Tulip,336.4,0.666,25,0.2779,0.000172679,75,0.3325,0.000206606,0.000155716,6.78539E-07,AAC
Daffodil,350,0.679,25,0.2672,0.000166031,75,0.3197,0.000198653,0.00014972,6.52441E-07,AAC
Canna,397.5,0.724,25,0.2355,0.000146333,75,0.2817,0.000175041,0.00013198,5.74148E-07,AAC
Goldentuft,450,0.769,25,0.2084,0.000129494,75,0.2491,0.000154784,0.000116849,5.05797E-07,AAC
Cosmos,477,0.793,25,0.197,0.00012241,75,0.235,0.000146023,0.000110604,4.72243E-07,AAC
Syringa,477,0.795,25,0.1968,0.000122286,75,0.2352,0.000146147,0.000110356,4.77214E-07,AAC
Hyacinth,500,0.813,25,0.1879,0.000116756,75,0.2245,0.000139498,0.000105385,4.54845E-07,AAC
Zinnia,500,0.811,25,0.1879,0.000116756,75,0.2245,0.000139498,0.000105385,4.54845E-07,AAC
Dahlia,556.5,0.856,25,0.169,0.000105012,75,0.202,0.000125517,9.47593E-05,4.10106E-07,AAC
Misteltoe,556.5,0.858,25,0.1691,0.000105074,75,0.2020,0.000125517,9.48525E-05,4.08863E-07,AAC
Meadowsweet,600,0.891,25,0.1571,9.76177E-05,75,0.1875,0.000116507,8.81728E-05,3.77795E-07,AAC
Orchid,636,0.918,25,0.1485,9.22739E-05,75,0.1771,0.000110045,8.33882E-05,3.55425E-07,AAC
Flag,700,0.964,25,0.1353,8.40717E-05,75,0.1613,0.000100227,7.59939E-05,3.23114E-07,AAC
Verbena,700,0.963,25,0.1353,8.40717E-05,75,0.1613,0.000100227,7.59939E-05,3.23114E-07,AAC
Nasturtium,715.5,0.975,25,0.1325,8.23319E-05,75,0.1578,9.80526E-05,7.44715E-05,3.14415E-07,AAC
Violet,715.5,0.974,25,0.1325,8.23319E-05,75,0.1578,9.80526E-05,7.44715E-05,3.14415E-07,AAC
Cattail,750,0.998,25,0.1266,7.86658E-05,75,0.1508,9.3703E-05,7.11472E-05,3.00744E-07,AAC
Petunia,750,0.997,25,0.1266,7.86658E-05,75,0.1508,9.3703E-05,7.11472E-05,3.00744E-07,AAC
Arbutus,795,1.026,25,0.1197,7.43783E-05,75,0.1425,8.85456E-05,6.72947E-05,2.83346E-07,AAC
Lilac,795,1.028,25,0.1197,7.43783E-05,75,0.1425,8.85456E-05,6.72947E-05,2.83346E-07,AAC
Anemone,874.5,1.077,25,0.1090,6.77296E-05,75,0.1298,8.06542E-05,6.12674E-05,2.58491E-07,AAC
Crocus,874.5,1.078,25,0.1090,6.77296E-05,75,0.1300,8.07785E-05,6.12052E-05,2.60977E-07,AAC
Cockscomb,900,1.092,25,0.1064,6.61141E-05,75,0.1264,7.85415E-05,5.99003E-05,2.48549E-07,AAC
Snapdragon,900,1.094,25,0.1064,6.61141E-05,75,0.1264,7.85415E-05,5.99003E-05,2.48549E-07,AAC
Goldenrod,954,1.126,25,0.1007,6.25722E-05,75,0.1195,7.4254E-05,5.67313E-05,2.33636E-07,AAC
Magnolia,954,1.124,25,0.1007,6.25722E-05,75,0.1195,7.4254E-05,5.67313E-05,2.33636E-07,AAC
Cameilla,1000,1.152,25,0.0963,5.98382E-05,75,0.1142,7.09608E-05,5.42769E-05,2.22451E-07,AAC
Hawkweed,1000,1.150,25,0.0963,5.98382E-05,75,0.1142,7.09608E-05,5.42769E-05,2.22451E-07,AAC
Bluebell,1033.5,1.170,25,0.0934,5.80362E-05,75,0.1107,6.8786E-05,5.26613E-05,2.14995E-07,AAC
Larkspur,1033.5,1.172,25,0.0934,5.80362E-05,75,0.1107,6.8786E-05,5.26613E-05,2.14995E-07,AAC
Marigold,1113,1.216,25,0.0872,5.41837E-05,75,0.1032,6.41257E-05,4.92127E-05,1.98839E-07,AAC
Hawthorn,1192.5,1.258,25,0.0819,5.08904E-05,75,0.0967,6.00867E-05,4.62923E-05,1.83926E-07,AAC
Narcissus,1272,1.300,25,0.0772,4.797E-05,75,0.0912,5.66692E-05,4.36204E-05,1.73984E-07,AAC
Columbine,1351.5,1.340,25,0.0731,4.54223E-05,75,0.0861,5.35002E-05,4.13834E-05,1.61557E-07,AAC
Carnation,1431,1.379,25,0.0695,4.31854E-05,75,0.0817,5.07662E-05,3.9395E-05,1.51615E-07,AAC
Galdious,1510.5,1.417,25,0.0663,4.1197E-05,75,0.0778,4.83428E-05,3.76241E-05,1.42916E-07,AAC
Coreopsis,1590,1.454,25,0.0634,3.9395E-05,75,0.0743,4.6168E-05,3.60086E-05,1.35459E-07,AAC
Jessamine,1750,1.525,25,0.0585,3.63503E-05,75,0.0683,4.24398E-05,3.33056E-05,1.21789E-07,AAC
Cowslip,2000,1.630,25,0.0525,3.26221E-05,75,0.0609,3.78416E-05,3.00123E-05,1.04391E-07,AAC
Lupine,2500,1.823,25,0.0446,2.77132E-05,75,0.0511,3.17521E-05,2.56938E-05,8.07785E-08,AAC
Trilium,3000,1.996,25,0.0392,2.43578E-05,75,0.0445,2.76511E-05,2.27112E-05,6.58655E-08,AAC
Bluebonnet,3500,2.158,25,0.0355,2.20587E-05,75,0.0399,2.47928E-05,2.06917E-05,5.46808E-08,AAC
355 -  12/7,355,0.684,25,0.2776,0.000172493,75,0.3296,0.000204804,0.000156337,6.46228E-07,ACAR
355 - 15/4,355,0.684,25,0.2714,0.000168641,75,0.3233,0.00020089,0.000152516,6.44985E-07,ACAR
395.1 - 15/4,395.1,0.721,25,0.2441,0.000151677,75,0.2907,0.000180633,0.000137199,5.79119E-07,ACAR
465.9 -  12/7,465.9,0.783,25,0.2121,0.000131793,75,0.2517,0.0001564,0.00011949,4.92127E-07,ACAR
503.6 -  12/7,503.6,0.814,25,0.1965,0.0001221,75,0.2330,0.00014478,0.00011076,4.53602E-07,ACAR
503.6 - 15/4,503.6,0.814,25,0.1921,0.000119366,75,0.2286,0.000142046,0.000108026,4.53602E-07,ACAR
559.5 - 15/4,559.5,0.858,25,0.1732,0.000107622,75,0.2060,0.000128003,9.74312E-05,4.07621E-07,ACAR
587.2 - 15/4,587.2,0.879,25,0.1652,0.000102651,75,0.1964,0.000122038,9.29574E-05,3.87737E-07,ACAR
653.1 -  12/7,653.1,0.927,25,0.1523,9.46351E-05,75,0.1804,0.000112096,8.59048E-05,3.49211E-07,ACAR
653.1 - 15/4,653.1,0.927,25,0.1490,9.25845E-05,75,0.1769,0.000109921,8.39164E-05,3.46726E-07,ACAR
739.8 -  18/19,739.8,0.99,25,0.1378,8.56252E-05,75,0.1625,0.000100973,7.79512E-05,3.06958E-07,ACAR
739.8 -  30/7,739.8,0.99,25,0.1316,8.17727E-05,75,0.1562,9.70584E-05,7.41298E-05,3.05715E-07,ACAR
739.8 - 24/13,739.8,0.99,25,0.1346,8.36368E-05,75,0.1593,9.89847E-05,7.59628E-05,3.06958E-07,ACAR
739.8 - 33/4,739.8,0.99,25,0.1302,8.09027E-05,75,0.1547,9.61264E-05,7.32909E-05,3.04473E-07,ACAR
853.7 -  18/19,853.7,1.063,25,0.1201,7.46269E-05,75,0.1414,8.78621E-05,6.80092E-05,2.64705E-07,ACAR
853.7 -  30/7,853.7,1.063,25,0.1147,7.12715E-05,75,0.1359,8.44446E-05,6.46849E-05,2.63462E-07,ACAR
853.7 - 24/13,853.7,1.063,25,0.1173,7.2887E-05,75,0.1386,8.61223E-05,6.62694E-05,2.64705E-07,ACAR
927.2 -  18/19,927.2,1.108,25,0.1110,6.89724E-05,75,0.1305,8.10891E-05,6.2914E-05,2.42335E-07,ACAR
927.2 -  30/7,927.2,1.108,25,0.1061,6.59276E-05,75,0.1255,7.79823E-05,5.99003E-05,2.41093E-07,ACAR
927.2 - 24/13,927.2,1.108,25,0.1084,6.73568E-05,75,0.1280,7.95357E-05,6.12674E-05,2.43578E-07,ACAR
1024.5 -  18/19,1024.5,1.165,25,0.1010,6.27586E-05,75,0.1187,7.37569E-05,5.72595E-05,2.19966E-07,ACAR
1024.5 -  30/7,1024.5,1.165,25,0.0966,6.00246E-05,75,0.1142,7.09608E-05,5.45565E-05,2.18723E-07,ACAR
1024.5 - 24/13,1024.5,1.165,25,0.0987,6.13295E-05,75,0.1164,7.23278E-05,5.58303E-05,2.19966E-07,ACAR
