Name,Size,MetalOD,LowTempC,LowResistancemile,LowResistancemeter,HiTempC,HiResistancemile,HiResistancemeter,alpha,beta,Type,Validated,minfirstderivative,Tc0hot,Tc0cold
Akron,30.58,0.198,25,3.5394,0.002199287,75,4.143,0.002574347,0.002011756,7.50121e-06,AAAC,1,-0.168597397087959,805.915046574322,-100
Alton,48.69,0.25,25,2.2235,0.001381622,75,2.6026,0.001617185,0.001263841,4.71125e-06,AAAC,1,-0.186881154525996,743.112216585049,-100
Ames,77.47,0.316,25,1.3973,0.000868244,75,1.6355,0.001016255,0.000794239,2.96022e-06,AAAC,1,-0.208153184337176,684.658495255295,-100
Azusa,123.3,0.398,25,0.8782,0.00054569,75,1.0278,0.000638647,0.000499211,1.85915e-06,AAAC,1,-0.234610740991753,631.116946911538,-100
Anaheim,155.4,0.447,25,0.6969,0.000433035,75,0.8156,0.000506792,0.000396156,1.47514e-06,AAAC,1,-0.251471466378281,605.532500926068,-100
Amherst,195.7,0.502,25,0.5536,0.000343992,75,0.6478,0.000402525,0.000314725,1.17067e-06,AAAC,1,-0.268546347224851,580.807033451094,-100
Alliance,246.9,0.563,25,0.4391,0.000272845,75,0.5137,0.000319199,0.000249668,9.27088e-07,AAAC,1,-0.286761006220568,557.166287589288,-100
Amarillo,246.9,0.57,25,0.4391,0.000272845,75,0.5137,0.000319199,0.000249668,9.27088e-07,AAAC,1,-0.288834078697578,554.699489259878,-100
Butte,312.8,0.642,25,0.3469,0.000215554,75,0.4058,0.000252153,0.000197255,7.31977e-07,AAAC,1,-0.309428050576934,531.080569813702,-100
Canton,394.5,0.721,25,0.2755,0.000171188,75,0.3221,0.000200144,0.00015671,5.79119e-07,AAAC,1,-0.331134485916306,508.802601778304,-100
Cairo,465.4,0.783,25,0.2339,0.000145339,75,0.2733,0.000169821,0.000133098,4.89642e-07,AAAC,1,-0.347609938650722,493.422729034989,-100
Darien,559.5,0.858,25,0.195,0.000121168,75,0.2278,0.000141549,0.000110977,4.07621e-07,AAAC,1,-0.366955812081339,476.788094599121,-100
Elgin,652.4,0.927,25,0.1677,0.000104204,75,0.1958,0.000121665,9.54739e-05,3.49211e-07,AAAC,1,-0.384256311620061,463.067676365911,-100
Flint,740.8,0.991,25,0.1482,9.20874e-05,75,0.1728,0.000107373,8.44446e-05,3.05715e-07,AAAC,1,-0.399915785011849,451.477339209642,-100
Greeley,927.2,1.108,25,0.1193,7.41298e-05,75,0.1389,8.63087e-05,6.80403e-05,2.43578e-07,AAAC,1,-0.427682519415582,432.600737644641,-100
Poppy,1,0.368,25,0.8829,0.00054861,75,1.0576,0.000657164,0.000494333,2.17108e-06,AAC,1,-0.224362335905087,648.63407567388,-100
Aster,2,0.414,25,0.7,0.000434961,75,0.8384,0.000520959,0.000391962,1.71996e-06,AAC,1,-0.240438999428677,622.138990587801,-100
Phlox,3,0.464,25,0.5543,0.000344427,75,0.6652,0.000413337,0.000309972,1.3782e-06,AAC,1,-0.256613972881795,597.340608168113,-100
Oxlip,4,0.522,25,0.4407,0.000273839,75,0.5277,0.000327898,0.000246809,1.08119e-06,AAC,1,-0.274423211488994,572.565487166382,-100
Pansy,1,0.328,25,1.1128,0.000691464,75,1.333,0.00082829,0.00062305,2.73653e-06,AAC,1,-0.21162286258973,675.413501195785,-100
Iris,2,0.292,25,1.4031,0.000871848,75,1.6808,0.001044403,0.00078557,3.4511e-06,AAC,1,-0.200404175595746,703.397755660198,-100
Rose,4,0.232,25,2.2308,0.001386158,75,2.6725,0.001660619,0.001248928,5.48921e-06,AAC,1,-0.180418684889123,761.87304215997,-100
Peachbell,6,0.184,25,3.5471,0.002204071,75,4.2493,0.002640399,0.001985907,8.72656e-06,AAC,1,-0.162988751119918,825.295639843208,-100
Sneezewort,250,0.567,25,0.3733,0.000231958,75,0.4469,0.000277691,0.000209092,9.14661e-07,AAC,1,-0.287781562477668,555.67022963387,-100
Valerian,250,0.574,25,0.3733,0.000231958,75,0.4469,0.000277691,0.000209092,9.14661e-07,AAC,1,-0.289850382302931,553.211451791059,-100
Daisy,266.8,0.586,25,0.3499,0.000217418,75,0.4188,0.000260231,0.000196012,8.56252e-07,AAC,1,-0.293317077165484,549.038988736152,-100
Laurel,266.8,0.593,25,0.3499,0.000217418,75,0.4188,0.000260231,0.000196012,8.56252e-07,AAC,1,-0.295364086435315,546.692754943405,-100
Peony,300,0.629,25,0.3113,0.000193433,75,0.3726,0.000231523,0.000174388,7.61803e-07,AAC,1,-0.305635362606321,535.028178982616,-100
