CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Turkey,6,1-Jun,0.0661,0.0661,0.0661,0.198,24,12,36,67.88,32.12,1190,0.641,0.806,20,75,304.8,105,ACSR,0.641,0.002103018,0.002644357,1,0.01,0.03246709,2.142685371,0.156440849,5.33E-09
Swan,4,1-Jun,0.0834,0.0834,0.0834,0.25,39,18,57,67.87,32.12,1860,0.403,0.515,20,75,304.8,140,ACSR,0.403,0.001322178,0.001689633,1,0.01,0.028205871,2.129691404,0.157116946,1.50E-08
Swanate,4,1-Jul,0.0772,0.103,0.103,0.257,39,28,67,58.1,41.9,2360,0.399,0.519,20,75,304.8,140,ACSR,0.399,0.001309055,0.001702756,1,0.01,0.026441301,2.123026358,0.156866013,2.48E-10
Sparrow,2,1-Jun,0.1052,0.1052,0.1052,0.316,62,29,91,67.9,32.1,2850,0.254,0.332,20,75,304.8,184,ACSR,0.254,0.000833333,0.001089239,1,0.01,0.023585343,2.111902252,0.157291144,1.51E-09
Sparate,2,1-Jul,0.0974,0.1298,0.1298,0.325,62,45,107,58.12,41.88,3460,0.251,0.338,20,75,304.8,184,ACSR,0.251,0.000823491,0.001108924,1,0.01,0.021535797,2.102497627,0.156603833,2.27E-09
Robin,1,1-Jun,0.1181,0.1181,0.1181,0.354,78,37,115,67.88,32.12,3550,0.201,0.268,20,75,304.8,212,ACSR,0.201,0.000659449,0.000879265,1,0.01,0.021427727,2.102294846,0.156973479,9.96E-09
Raven,0,1-Jun,0.1327,0.1327,0.1327,0.398,99,47,145,67.89,32.11,4380,0.159,0.217,20,75,304.8,242,ACSR,0.159,0.000521654,0.000711942,1,0.01,0.01888628,2.089773785,0.156603042,3.72E-09
Quail,0,1-Jun,0.1489,0.1489,0.1489,0.447,124,59,183,67.88,32.12,5310,0.126,0.176,20,75,304.8,276,ACSR,0.126,0.000413386,0.000577428,1,0.01,0.016609833,2.077150876,0.155985108,2.22E-09
Pigeon,0,1-Jun,0.1672,0.1672,0.1672,0.502,156,74,230,67.87,32.13,6620,0.1,0.144,20,75,304.8,315,ACSR,0.1,0.000328084,0.000472441,1,0.01,0.014355901,2.063015087,0.236230401,1.88E-09
Penguin,0,1-Jun,0.1878,0.1878,0.1878,0.563,197,93,291,67.88,32.12,8350,0.0795,0.119,20,75,304.8,357,ACSR,0.0795,0.000260827,0.00039042,1,0.01,0.011924404,2.045188532,0.432349889,8.02E-09
Waxwing,266.8,18/1,0.1217,0.1217,0.1217,0.609,250,39,289,86.43,13.57,6880,0.0643,0.0787,20,75,304.8,449,ACSR,0.0643,0.000210958,0.000258202,1,0.01,0.020685012,2.100370654,0.159113783,5.93E-09
Partridge,266.8,26/7,0.1013,0.0788,0.2363,0.642,251,115,367,68.51,31.49,11300,0.0637,0.0779,20,75,304.8,475,ACSR,0.0637,0.00020899,0.000255577,1,0.01,0.02172909,2.10523897,0.159162688,2.46E-09
Ostrich,300,26/7,0.1074,0.0835,0.2506,0.68,283,130,412,68.51,31.49,12700,0.0567,0.0693,20,75,304.8,492,ACSR,0.0567,0.000186024,0.000227362,1,0.01,0.019703609,2.095725786,0.159226627,6.17E-09
Merlin,336.4,18/1,0.1367,0.1367,0.1367,0.684,315,49,365,86.43,13.57,8680,0.051,0.0625,20,75,304.8,519,ACSR,0.051,0.000167323,0.000205052,1,0.01,0.019535739,2.094828019,0.159183324,2.24E-09
Linnet,336.4,26/7,0.1137,0.0885,0.2654,0.72,317,146,462,68.51,31.49,14100,0.0505,0.0618,20,75,304.8,529,ACSR,0.0505,0.000165682,0.000202756,1,0.01,0.01915132,2.092902376,0.159141841,3.73E-09
Oriole,336.4,30/7,0.1059,0.1059,0.3177,0.741,318,209,526,60.35,39.65,17300,0.0502,0.0613,20,75,304.8,535,ACSR,0.0502,0.000164698,0.000201115,1,0.01,0.018989437,2.092091247,0.159194341,1.74E-09
Chickadee,397.5,18/1,0.1486,0.1486,0.1486,0.743,373,58,431,86.43,13.57,9940,0.0432,0.0529,20,75,304.8,576,ACSR,0.0432,0.000141732,0.000173556,1,0.01,0.018820238,2.091189716,0.15915329,2.86E-09
Brant,397.5,24/7,0.1287,0.0858,0.2574,0.772,374,137,511,73.21,26.79,14600,0.043,0.0526,20,75,304.8,584,ACSR,0.043,0.000141076,0.000172572,1,0.01,0.018574784,2.089889314,0.159081759,1.47E-09
Ibis,397.5,26/7,0.1236,0.0962,0.2885,0.783,374,172,546,68.51,31.49,16300,0.0428,0.0523,20,75,304.8,587,ACSR,0.0428,0.00014042,0.000171588,1,0.01,0.018451606,2.089267133,0.159098129,6.07E-09
Lark,397.5,30/7,0.1151,0.1151,0.3453,0.806,375,247,622,60.35,39.65,20300,0.0425,0.0519,20,75,304.8,594,ACSR,0.0425,0.000139436,0.000170276,1,0.01,0.018253588,2.088302387,0.159291363,4.71E-09
Pelican,477,18/1,0.1628,0.1628,0.1628,0.814,447,70,517,86.44,13.56,11800,0.036,0.0442,20,75,304.8,646,ACSR,0.036,0.00011811,0.000145013,1,0.01,0.017974717,2.086687698,0.159049301,3.95E-10
Flicker,477,24/7,0.141,0.094,0.2819,0.846,449,164,614,73.21,26.79,17200,0.0358,0.0439,20,75,304.8,655,ACSR,0.0358,0.000117454,0.000144029,1,0.01,0.017726356,2.08531544,0.159086114,7.50E-09
Hawk,477,26/7,0.1354,0.1053,0.316,0.858,449,207,656,68.51,31.49,19500,0.0356,0.0436,20,75,304.8,659,ACSR,0.0356,0.000116798,0.000143045,1,0.01,0.017631587,2.084832807,0.159075407,2.63E-09
Hen,477,30/7,0.1261,0.1261,0.3783,0.883,450,296,746,60.35,39.65,23800,0.0354,0.0433,20,75,304.8,666,ACSR,0.0354,0.000116142,0.00014206,1,0.01,0.017442272,2.083803809,0.159159051,1.00E-08
Osprey,556.5,18/1,0.1758,0.1758,0.1758,0.879,522,82,603,86.43,13.57,13700,0.0308,0.0379,20,75,304.8,711,ACSR,0.0308,0.00010105,0.000124344,1,0.01,0.017227779,2.082597739,0.159167603,8.65E-09
Parakeet,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,73.21,26.79,19800,0.0307,0.0376,20,75,304.8,721,ACSR,0.0307,0.000100722,0.00012336,1,0.01,0.017108976,2.081877245,0.169865455,1.06E-09
Dove,556.5,26/7,0.1463,0.1138,0.3413,0.927,524,241,765,68.51,31.49,22600,0.0306,0.0375,20,75,304.8,726,ACSR,0.0306,0.000100394,0.000123031,1,0.01,0.017036173,2.081514325,0.172913535,1.00E-08
Eagle,556.5,30/7,0.1362,0.1362,0.4086,0.953,525,345,871,60.35,39.65,27800,0.0303,0.0372,20,75,304.8,734,ACSR,0.0303,9.94E-05,0.000122047,1,0.01,0.016740303,2.079752283,0.221521387,8.07E-09
